name,price,status,shipping,free_returns,items_sold
Vintage Art Deco ROYAL Portable Typewriter Model P Rare Light Pink BEAUTIFUL!,89900,Pre-Owned,3900,False,0
Vintage Petite Typewriter In Working Condition with Case No Reserve,27300,Brand New,10371,False,0
Vintage Typewriter Primavera 2000 IMC Orange With Cover,8389,,4607,True,0
Royal Blue Typewriter Model P From 1930 Refurbished Cleaned + New Ribbon,44267,Pre-Owned,15567,False,0
Petite Feather touch childrens vintage typewriter With Bag,1000,Pre-Owned,6895,False,0
Argyle P201 Vintage Portable Manuel Typewriter  With Case.  Working,3200,Pre-Owned,9660,False,0
"SALE! - Olivetti Lettera 35 Pink Typewriter, Vintage, Mint Condition,",52082,Pre-Owned,12000,False,0
Green Typewriter  With Case. Works Great.,12500,Pre-Owned,11951,False,0
"1956 Pink Royal Quiet Deluxe Typewriter Print Ad, Retro Art Unique ",969,Pre-Owned,449,False,0
Royal Quiet deluxe 1950 pink typewriter ,50000,Pre-Owned,16785,False,0
"UBOTIE Colorful Computer Wireless Keyboard Mice Combo, Retro Typewriter Flexi...",5347,Brand New,0,True,0
Rare Cute Pink Typewriter Model 4 From 1930,133184,Pre-Owned,15567,False,0
VTG 1980s CHILDS TYPEWRITER PETITE 990 W / BOX ~~ UNTESTED  DISPLAY ONLY ~~,6745,Pre-Owned,7090,False,0
Argyle P201 Vintage Portable Manuel Typewriter  With Case And Original Paperwork,13000,Pre-Owned,4942,False,0
"1957 vintage Royal typewriter Print Ad, Pink Typewriter, No More Dirty Black ",969,Pre-Owned,449,False,0
Working Vintage royals pink ribbon typewriter ,20000,Pre-Owned,15484,False,0
Vintage Petite Super International Typewriter with Hard Case - Blue,5999,Pre-Owned,2499,False,0
"Olivetti Pluma 22 Pink Typewriter, Vintage, Mint Condition, Manual Portable,",52082,Pre-Owned,12000,False,0
Petite 880 Typewriter with TWO Sealed Ink Ribbons,4999,Pre-Owned,5475,False,0
VTG Working White Royal Litton Manual Travel Typewriter Case Azerty Keyboard,17300,Pre-Owned,6000,False,0
"SLimited Edition Olivetti Lettera 35 Orchid Pink, Vintage, Mint",74402,Pre-Owned,0,False,0
Vintage Petite Super International Typewriter with Hard Case - Blue,7500,Pre-Owned,1500,False,0
"Limited Edition Lady Gaga Vibe Olivetti Lettera 32 Pink Typewriter, Vintage,",68679,Pre-Owned,0,False,0
"Olivetti Lettera 32 Pink Typewriter, Vintage, Manual Portable, Professionally",48075,Pre-Owned,12000,False,0
Vintage Typewriter Petite 600 Luxe Red White Grey,6000,Pre-Owned,9660,False,0
Light Blue Typewriter,22000,Pre-Owned,0,False,0
Vintage Sears Baby Blue Typewriter,9850,Pre-Owned,15431,False,0
Petite 880 Typewriter Gray/Cream Vintage,2800,Pre-Owned,7139,False,0
"Olivetti Lettera Pluma 22 Light Pink Typewriter, Vintage, Manual Portable,",56088,Pre-Owned,12000,False,0
"Vintage Chechoslovakian baby blue, gray typewriter in good condition",29900,Pre-Owned,6000,False,0
Beautiful Baby Blue Vintage Royal Manual Typewriter with Case & Manual,22500,Pre-Owned,2900,False,0
1960’s Remington Quiet-Riter Eleven Manual Typewriter-Rare Coral PICKUP ONLY,14500,Pre-Owned,,False,0
Vtg 1958 Royal Futura 800 Portable Typewriter w/ Case  Salmon Pink (Cocoa),27000,Pre-Owned,2500,True,0
🎀🎀We R Memory Keepers Typewriter Manual Pink Typing Vintage Retro Decor Ribbon,10950,Pre-Owned,5545,False,0
Pink We R Memory Keepers Typewriter Typecast Retro Design WORKING!,9472,Pre-Owned,2914,False,0
"Vintage Star-lite typewriter, Blue Casing",12000,Pre-Owned,1200,False,0
1958 Royal FP Standard Typewriter. PINK & GRAY VINTAGE,19900,Pre-Owned,7500,False,0
"Vintage 7"" X 6"" Ceramic Pink Typewriter ""To be Or Not To Be"" Décor by Ashland",2997,Pre-Owned,1000,False,0
VTG 50s Royal Typewriter Bubble Gum Pink Retro Carrying Case Mid Century Modern,65000,Pre-Owned,9660,False,0
Vintage PETITE International De Luxe Blue Typewriter w/ Case England Untested,4900,Pre-Owned,1690,False,0
Antique 1959 Smith Corona Pink Hand Painted Silent Typewriter #5T745642,37500,Pre-Owned,0,True,0
1955 vintage Pink Royal typewriter Quiet Deluxe Pink Print Ad Unique Retro,969,Pre-Owned,449,False,0
Vintage 1960s Smith Corona SMC Sterling - Pink - PAINTED & REFURBISHED,27500,Pre-Owned,,False,0
VTG 50s Royal Typewriter Bubble Gum Pink Retro Carrying Case Mid Century Modern,100000,Pre-Owned,13649,False,0
"Vintage Manual Red Typewriter on Hardboard Base, Made in Japan, PLEASE READ",5300,Pre-Owned,2628,False,0
Excellent! Serviced 1962 Olympia SM7 Pink Vintage Portable Typewriter Pica No.97,88000,Pre-Owned,3783,True,0
Vintage PANAMA SQUARE PINK TYPEWRITER RIBBON ΤΙΝ & RIBBON UNDERWOOD BLACK 64,3500,Brand New,703,False,0
"Vintage Tower Capri Portable Typewriter w/case, Read",3499,Pre-Owned,5185,False,0
RARE VINTAGE SUPER CUTE Petite International Typewriter De Luxe Baby Blue As Is,5889,Pre-Owned,1599,False,0
Working Typewriter Princess 1970s Beige Typewriter with Leather Case QWERTY 1970,26500,Pre-Owned,0,False,0
Royal Crackle Blue Portable Typewriter in working condition with original case ,20000,Pre-Owned,3329,False,0
"1955 Pink, Blue & Cream Royal typewriter Print Ad Electric Typewriter ",969,Pre-Owned,449,False,0
Vintage 1956-57 Royal Quiet De Luxe Portable Typewriter With Case In Pink,23500,Pre-Owned,7270,False,0
NEW! Vintage Royal Fiesta 3 Typewriter 1950s Turquoise Blue Teal W/Case RARE!,37500,Brand New,2500,True,0
Petite 880 Typewriter with TWO Sealed Ink Ribbons,4999,Pre-Owned,5475,False,0
Petite Feather touch childrens vintage typewriter With Bag,1000,Pre-Owned,6895,False,0
1952 vintage Royal typewriter Quiet Deluxe Pink Print Ad ,969,Pre-Owned,449,False,0
Argyle P201 Vintage Portable Manuel Typewriter  With Case.  Working,3200,Pre-Owned,9660,False,0
VTG 50s Royal Typewriter Bubble Gum Pink Retro Carrying Case Mid Century Modern,70000,Pre-Owned,15484,False,0
Argyle P201 Vintage Portable Manuel Typewriter  With Case And Original Paperwork,13000,Pre-Owned,4942,False,0
Vintage Art Deco ROYAL Portable Typewriter Model P Rare Light Pink BEAUTIFUL!,89900,Pre-Owned,3900,False,0
Vintage Typewriter Primavera 2000 IMC Orange With Cover,8389,,4607,True,0
Vintage Petite Typewriter In Working Condition with Case No Reserve,27300,Brand New,10371,False,0
Royal Blue Typewriter Model P From 1930 Refurbished Cleaned + New Ribbon,44267,Pre-Owned,15567,False,0
Vintage 1970s Petite TYPEWRITER Super International with Carry Case,6250,Pre-Owned,4606,False,0
"1956 Pink Royal Quiet Deluxe Typewriter Print Ad, Retro Art Unique ",969,Pre-Owned,449,False,0
"1957 vintage Royal typewriter Print Ad, Pink Typewriter, No More Dirty Black ",969,Pre-Owned,449,False,0
Princess 300  1970's light blue typewriter in good condition,43900,Pre-Owned,6000,False,0
Vintage Petite Super International Typewriter with Hard Case - Blue,5999,Pre-Owned,2499,False,0
"Limited Edition Lettera 32 Flamingo Pink Typewriter, Vintage, Mint Condition,",59522,Pre-Owned,0,False,0
"UBOTIE Colorful Computer Wireless Keyboard Mice Combo, Retro Typewriter Flexi...",5347,Brand New,0,True,0
Rare Cute Pink Typewriter Model 4 From 1930,133184,Pre-Owned,15567,False,0
VTG 1980s CHILDS TYPEWRITER PETITE 990 W / BOX ~~ UNTESTED  DISPLAY ONLY ~~,6745,Pre-Owned,7090,False,0
Green Typewriter  With Case. Works Great.,12500,Pre-Owned,11951,False,0
Royal Futura 800 portable typewriter Salmon /Gray Color Combo. W/ Case,29292,Pre-Owned,7295,False,0
Vintage Petite Super International Typewriter with Hard Case - Blue,7500,Pre-Owned,1500,False,0
Working Vintage royals pink ribbon typewriter ,20000,Pre-Owned,15484,False,0
"SALE! - Olivetti Lettera 35 Pink Typewriter, Vintage, Mint Condition,",52082,Pre-Owned,12000,False,0
VTG Working White Royal Litton Manual Travel Typewriter Case Azerty Keyboard,17300,Pre-Owned,6000,False,0
Royal Quiet deluxe 1950 pink typewriter ,50000,Pre-Owned,16785,False,0
Petite 880 Typewriter Gray/Cream Vintage,2800,Pre-Owned,7139,False,0
"Olivetti Pluma 22 Pink Typewriter, Vintage, Mint Condition, Manual Portable,",52082,Pre-Owned,12000,False,0
Light Blue Typewriter,22000,Pre-Owned,0,False,0
"Limited Edition Lady Gaga Vibe Olivetti Lettera 32 Pink Typewriter, Vintage,",68679,Pre-Owned,0,False,0
Vintage Typewriter Petite 600 Luxe Red White Grey,6000,Pre-Owned,9660,False,0
"SLimited Edition Olivetti Lettera 35 Orchid Pink, Vintage, Mint",74402,Pre-Owned,0,False,0
"Vintage Chechoslovakian baby blue, gray typewriter in good condition",29900,Pre-Owned,6000,False,0
"Olivetti Lettera 32 Pink Typewriter, Vintage, Manual Portable, Professionally",48075,Pre-Owned,12000,False,0
Vintage Sears Baby Blue Typewriter,9850,Pre-Owned,15431,False,0
"Olivetti Lettera Pluma 22 Light Pink Typewriter, Vintage, Manual Portable,",56088,Pre-Owned,12000,False,0
Beautiful Baby Blue Vintage Royal Manual Typewriter with Case & Manual,22500,Pre-Owned,2900,False,0
Vintage 1950's PINK Royal Quiet Deluxe Typewriter w/ Original Tweed Case,20000,Pre-Owned,,False,0
